標題,租金,地址,格局,大小,樓層,型態,房東,電話,圖片url,url
日照生活機能超優@附獨立洗衣機，小廚房,"22,000",士林區大東路,獨立套房,10坪,頂層加蓋/3F,透天厝,屋主: 林先生 (仲介勿擾),0986-851-077轉1599975,https://img2.591.com.tw/house/2019/07/11/156281772435974205.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12552487.html
近天母.西門町.士林夜市.可寵.靜巷明亮,"9,500",士林區葫蘆街40巷,獨立套房,7.5坪,3F/4F,公寓,屋主: 陳太太,0981-296-598,https://img1.591.com.tw/house/2022/05/24/165340782972823660.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12564280.html
已收定已收訂,"11,000",士林區士商路40巷3號,獨立套房,8坪,1F/4F,公寓,屋主: 王先生 (仲介勿擾),0978-075-096,https://img1.591.com.tw/house/2016/11/07/147852562665805700.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12640074.html
士林芝山電梯獨立大套房.台水台電.採光佳,"19,000",士林區忠誠路一段16巷,獨立套房,14坪,B1/6F,電梯大樓,仲介: 沈先生 (收服務費),0908-906-807,https://img1.591.com.tw/house/2022/05/05/165175550883082192.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12610690.html
劍潭站、全新裝潢家具/夜市/生活機能強,"13,488",士林區大東路,獨立套房,6坪,3F/4F,公寓,仲介: 江先生 (收服務費),0902-302-375,https://img1.591.com.tw/house/2022/05/20/165304510083547304.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12625794.html
劍潭站、新裝潢/電梯/樓中樓/泳池KTV,"34,978",士林區基河路,獨立套房,13.14坪,4F/11F,電梯大樓,仲介: 江先生 (收服務費),0902-302-375,https://img1.591.com.tw/house/2022/05/04/165165659312632469.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12541558.html
明德站、陽台/電梯全新屋裝潢家具,"31,488",士林區克強路,獨立套房,17坪,6F/11F,電梯大樓,仲介: 江先生 (收服務費),0902-302-375,https://img2.591.com.tw/house/2022/05/06/165176789156459008.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12549041.html
劍潭站、包水電可寵/採光/乾濕分離,"13,488",士林區重慶北路四段220巷,獨立套房,9坪,3F/4F,公寓,仲介: 江先生 (收服務費),0902-302-375,https://img2.591.com.tw/house/2022/05/02/165148124358270838.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12530310.html
劍潭、全新裝潢/洗脫烘/免爬高/對外窗,"21,988",士林區大東路,獨立套房,10坪,2F/4F,公寓,仲介: 江先生 (收服務費),0902-302-375,https://img1.591.com.tw/house/2022/05/10/165216513894035030.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12572090.html
士林後港大套房0936256079,"11,800",士林區後港街162巷,獨立套房,10坪,2F/3F,透天厝,仲介: 鄭小姐 (收服務費) 5筆,0936-256-079,https://img2.591.com.tw/house/2022/05/11/165225039585842475.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12612227.html
