標題,租金,地址,格局,大小,樓層,型態,房東,電話,圖片url,url
地中海風格主題套房，全數採用高級木質地板,"12,000",中正區汀州路二段,獨立套房,7坪,4F/4F,公寓,屋主: 莊先生 (仲介勿擾),0930-253-311,https://img1.591.com.tw/house/2017/05/02/149371565378584203.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12533238.html
北車商圈全新套房酒店式公寓租金含水電網路,"36,000",中正區忠孝西路一段80號,獨立套房,5.9坪,23F/37F,電梯大樓,屋主: 謝小姐 (仲介勿擾),0970-690-970,https://img2.591.com.tw/house/2022/04/06/164921361062275202.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12566563.html
台電大樓捷運站/汀州路三段/師大商圈,"10,000",中正區汀州路三段27巷,獨立套房,8坪,頂層加蓋/4F,公寓,屋主: 王先生,0933-664-875,https://img1.591.com.tw/house/2022/05/09/165206164817298505.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12563359.html
中正紀念堂捷運站/中正國中/國家戲劇院,"35,000",中正區愛國東路,獨立套房,18坪,12F/12F,電梯大樓,仲介: 王先生 (收服務費),0933-664-875,https://img1.591.com.tw/house/2020/04/14/158685708413275101.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12599128.html
台北車站對面電梯大樓獨立套房最短一年可寵,"16,500",中正區忠孝西路一段,獨立套房,15坪,9F/11F,電梯大樓,屋主: 陳先生 (仲介勿擾),0988-716-585,https://img2.591.com.tw/house/2022/01/07/164156955731113802.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12621367.html
高網評#高品味#台北車站+西門町#月租,"17,000",中正區博愛路36號,獨立套房,9坪,4F/9F,電梯大樓,屋主: 朱小姐 (仲介勿擾),0955-918-656,https://img1.591.com.tw/house/2022/05/16/165267365259306863.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12569648.html
高雅精簡小巧漂亮6樓無電梯不是頂樓加蓋,"7,500",中正區中華路二段299號,獨立套房,4坪,6F/6F,公寓,屋主: 詹先生 (仲介勿擾),0987-297-553,https://img2.591.com.tw/house/2022/05/08/165199987594377068.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12622973.html
"舒適套房採光佳,中正紀念堂站兩分鐘機能優","22,000",中正區寧波東街9巷,獨立套房,10.12坪,2F/6F,電梯大樓,屋主: 陳小姐 (仲介勿擾),0986-851-077轉1606082,https://img2.591.com.tw/house/2020/11/07/160475055922139903.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12633760.html
北車旁電梯大樓舒適套房,"15,000",中正區忠孝西路一段50號,獨立套房,8坪,8F/27F,電梯大樓,仲介: 張小姐 (收服務費),0901-327-995,https://img2.591.com.tw/house/2022/05/19/165296207315892400.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12620579.html
"懷寧園邸,館前城中,公園套房,台大捷運","16,000",中正區懷寧街76號,獨立套房,6坪,2F/10F,電梯大樓,屋主: 劉先生 (仲介勿擾),0926-762-851,https://img2.591.com.tw/house/2018/07/07/153097802258176901.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12511064.html
